Date,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
2012-02-28,3261.387,454.2311,299.01,2364.03,0.00387,0.00142,-0.00219,0.00352
2012-02-29,3251.368,453.8564,297.6407,2353.23,-0.00307,-0.00082,-0.00458,-0.00457
2012-03-01,3265.972,453.1823,298.6946,2367.87,0.00449,-0.00149,0.00354,0.00622
2012-03-02,3251.068,451.9487,296.9504,2360.28,-0.00456,-0.00272,-0.00584,-0.00321
2012-03-03,3251.068,451.9487,296.9504,2360.28,0.00000,0.00000,0.00000,0.00000
2012-03-04,3251.068,451.9487,296.9504,2360.28,0.00000,0.00000,0.00000,0.00000
2012-03-05,3235.148,451.8288,294.325,2351.28,-0.00490,-0.00027,-0.00884,-0.00381
2012-03-06,3168.704,451.2039,289.4449,2315.21,-0.02054,-0.00138,-0.01658,-0.01534
2012-03-07,3182.917,450.9518,288.9274,2331.89,0.00449,-0.00056,-0.00179,0.00720
2012-03-08,3232.652,452.1836,289.9715,2355.01,0.01563,0.00273,0.00361,0.00991
2012-03-09,3236.461,449.5657,292.3433,2363.56,0.00118,-0.00579,0.00818,0.00363
2012-03-10,3236.461,449.5657,292.3433,2363.56,0.00000,0.00000,0.00000,0.00000
2012-03-11,3236.461,449.5657,292.3433,2363.56,0.00000,0.00000,0.00000,0.00000
2012-03-12,3230.951,449.9115,291.2953,2364.1,-0.00170,0.00077,-0.00358,0.00023
2012-03-13,3278.981,448.7131,293.5235,2407.79,0.01487,-0.00266,0.00765,0.01848
2012-03-14,3272.226,444.5074,290.8068,2404.98,-0.00206,-0.00937,-0.00926,-0.00117
2012-03-15,3294.208,445.066,292.7104,2419.37,0.00672,0.00126,0.00655,0.00598
2012-03-16,3310.539,445.9956,294.0119,2422.09,0.00496,0.00209,0.00445,0.00112
2012-03-17,3310.539,445.9956,294.0119,2422.09,0.00000,0.00000,0.00000,0.00000
2012-03-18,3310.539,445.9956,294.0119,2422.09,0.00000,0.00000,0.00000,0.00000
2012-03-19,3322.578,446.7093,294.5208,2431.73,0.00364,0.00160,0.00173,0.00398
2012-03-20,3300.186,445.8906,290.2043,2424.46,-0.00674,-0.00183,-0.01466,-0.00299
2012-03-21,3289.676,446.4195,290.261,2420.02,-0.00318,0.00119,0.00020,-0.00183
2012-03-22,3269.617,447.5549,287.4072,2402.71,-0.00610,0.00254,-0.00983,-0.00715
2012-03-23,3279.541,448.9758,289.661,2410.16,0.00304,0.00317,0.00784,0.00310
2012-03-24,3279.541,448.9758,289.661,2410.16,0.00000,0.00000,0.00000,0.00000
2012-03-25,3279.541,448.9758,289.661,2410.16,0.00000,0.00000,0.00000,0.00000
2012-03-26,3317.539,449.3463,290.4892,2443.64,0.01159,0.00083,0.00286,0.01389
2012-03-27,3315.034,449.6122,289.5479,2437.01,-0.00076,0.00059,-0.00324,-0.00271
2012-03-28,3293.971,449.4148,285.9819,2425.55,-0.00635,-0.00044,-0.01232,-0.00470
2012-03-29,3276.462,450.1478,281.3903,2421.7,-0.00532,0.00163,-0.01606,-0.00159
2012-03-30,3293.169,450.5883,285.3287,2430.67,0.00510,0.00098,0.01400,0.00370
2012-03-31,3293.169,450.5883,285.3287,2430.67,0.00000,0.00000,0.00000,0.00000
2012-04-01,3293.169,450.5883,285.3287,2430.67,0.00000,0.00000,0.00000,0.00000
2012-04-02,3324.485,450.9411,289.0794,2449.08,0.00951,0.00078,0.01315,0.00757
2012-04-03,3306.265,450.2427,288.7453,2439.89,-0.00548,-0.00155,-0.00116,-0.00375
2012-04-04,3243.493,447.4195,283.2257,2415.05,-0.01899,-0.00627,-0.01912,-0.01018
2012-04-05,3239.941,447.5458,284.8544,2414.4,-0.00110,0.00028,0.00575,-0.00027
2012-04-06,3237.276,448.4818,284.8544,2414.4,-0.00082,0.00209,0.00000,0.00000
2012-04-07,3237.276,448.4818,284.8544,2414.4,0.00000,0.00000,0.00000,0.00000
2012-04-08,3237.276,448.4818,284.8544,2414.4,0.00000,0.00000,0.00000,0.00000
2012-04-09,3214.988,449.6971,283.8499,2387.03,-0.00688,0.00271,-0.00353,-0.01134
2012-04-10,3162.853,450.8671,280.2679,2346.27,-0.01622,0.00260,-0.01262,-0.01708
2012-04-11,3181.362,450.9698,280.7577,2364.09,0.00585,0.00023,0.00175,0.00760
2012-04-12,3225.804,451.8667,284.2343,2396.69,0.01397,0.00199,0.01238,0.01379
2012-04-13,3186.279,451.2699,280.4311,2366.84,-0.01225,-0.00132,-0.01338,-0.01245
