Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan)
2020-11-17,SZA-2014,33.73,33.73,33.73,33.73,33.73,1,33.73
2020-11-17,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-16,SZA-2019,47.42,47.42,47.42,47.42,47.42,2,94.84
2020-11-16,SZA-2018,40.46,40.46,33.10,40.46,40.46,5,194.94
2020-11-16,SZA-2017,5.34,5.34,4.37,4.37,4.37,3,14.08
2020-11-16,SZA-2016,4.82,,,4.82,4.82,0,0
2020-11-16,SZA-2015,4.34,4.34,4.34,4.34,4.34,1,4.34
2020-11-16,SZA-2014,25.08,30.66,25.08,30.66,30.66,4002,100381.32
2020-11-16,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-24,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-23,SZA-2019,41.83,51.13,41.83,51.13,51.13,8,353.24
2020-11-23,SZA-2018,43.63,43.63,35.69,43.63,43.63,6,253.84
2020-11-19,SZA-2013,31.70,,,31.70,31.70,0,0
2020-11-18,SZA-2019,38.41,46.95,38.41,38.41,38.41,4,162.18
2020-12-04,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-04,SZA-2013,31.70,,,31.70,31.70,0,0
2020-12-03,SZA-2019,40.19,49.13,40.19,49.13,49.13,7,317.09
2020-12-03,SZA-2018,51.22,51.22,51.22,51.22,51.22,1,51.22
2020-12-03,SZA-2017,5.07,5.07,5.07,5.07,5.07,1,5.07
2020-12-03,SZA-2016,5.61,5.61,4.59,4.59,4.59,2,10.20
2020-12-03,SZA-2015,4.63,4.63,4.63,4.63,4.63,1,4.63
2020-12-03,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-03,SZA-2013,31.70,,,31.70,31.70,0,0
2020-12-02,SZA-2019,44.66,44.66,44.66,44.66,44.66,3,133.98
2020-12-02,SZA-2018,56.91,56.91,56.91,56.91,56.91,1,56.91
2020-12-02,SZA-2017,4.61,,,4.61,4.61,0,0
2020-12-02,SZA-2016,5.10,5.10,5.10,5.10,5.10,1,5.10
2020-12-02,SZA-2015,4.21,4.21,4.21,4.21,4.21,1,4.21
2020-12-02,SZA-2014,31.70,,,31.70,31.70,0,0
2020-12-02,SZA-2013,31.70,,,31.70,31.70,0,0
2020-12-01,SZA-2019,40.60,49.62,40.60,49.62,49.62,9,401.48
2020-12-01,SZA-2018,51.74,51.74,51.74,51.74,51.74,1,51.74
2020-12-01,SZA-2017,4.61,4.61,4.61,4.61,4.61,1,4.61
2020-12-01,SZA-2016,5.67,5.67,5.67,5.67,5.67,1,5.67
2015-07-08,SZA-2013,40,,,40,40,0,0
2015-07-07,SZA-2014,25.98,25.98,25.98,25.98,25.98,60,1558.8
2015-07-07,SZA-2013,40,,,40,40,0,0
2015-07-06,SZA-2014,29,29,28.87,28.87,28.87,3117,90377.79
2015-07-06,SZA-2013,40,,,40,40,0,0
2015-07-03,SZA-2014,32.08,32.08,32.08,32.08,32.08,180,5774.4
2015-07-03,SZA-2013,40,,,40,40,0,0
2015-07-02,SZA-2014,35.64,35.64,35.64,35.64,35.64,100,3564.00
2015-07-02,SZA-2013,40,,,40,40,0,0
2015-07-01,SZA-2014,39.6,,,39.6,39.6,0,0
2015-07-01,SZA-2013,34.93,40,34.93,40,40,301,10519
2015-06-30,SZA-2014,43.2,43.2,39.6,39.6,39.6,16054,595136.80
2015-06-30,SZA-2013,38.81,38.81,38.81,38.81,38.81,3903,151475.43
2015-06-29,SZA-2014,42.7,44,42.7,44,44,34697,1201327.01
2015-06-29,SZA-2013,35.28,43.12,35.28,43.12,43.12,11412,402623.2
2015-06-28,SZA-2014,52.71,57.98,47.44,47.44,47.44,14180,711106.96
2015-06-28,SZA-2013,39.2,39.2,39.2,39.2,39.2,200,7840
