,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
41,2020-05-25,25.23,26.99,25.22,70952.0,1814772.89,-0.01790579992214869,3797,6147.005,517.871,133.8446,6044.16,1.0047957832284404,0.9994167973179625,1.0,1.0
42,2020-05-26,25.05,26.66,25.05,65271.0,1670445.89,-0.007134363852556501,3798,6242.87,519.2604,135.1481,6118.54,1.0155953997109162,1.0026829075194401,1.0097389061643127,1.0123060938161796
43,2020-05-27,25.29,26.88,23.66,61487.0,1549581.14,0.009580838323353323,3799,6309.743,519.0913,133.697,6209.38,1.0107119001356748,0.9996743445099993,0.989262890118322,1.0148466791097224
44,2020-05-28,25.29,27.3,24.11,67231.0,1695148.47,0.0,3800,6344.02,520.5546,133.9122,6197.02,1.005432392412813,1.0028189646021808,1.0016096097892997,0.9980094631025964
45,2020-05-29,25.29,25.99,25.0,67701.0,1710697.53,0.0,3801,6343.31,522.2931,135.5447,6227.81,0.9998880835810732,1.0033397073044785,1.0121908235396027,1.0049685171259735
46,2020-06-01,25.2,26.88,24.5,2595.0,66472.78,-0.003558718861209953,3804,6390.871,522.7518,135.4956,6251.48,1.0074978205384886,1.0008782425040652,0.9996377578761839,1.0038006939839204
47,2020-06-02,25.07,25.8,24.1,3702.0,92621.11,-0.0051587301587301395,3805,6459.454000000001,523.1298,136.0742,6303.0,1.0107314010875827,1.0007230965058371,1.004270249366031,1.0082412484723617
48,2020-06-03,26.74,26.99,24.0,4142.0,100500.18,0.06661348224970087,3806,6564.821999999999,522.5109,136.3276,6389.67,1.0163122146237125,0.9988169284181477,1.001862219289182,1.0137505949547834
49,2020-06-04,24.73,28.44,24.56,42283.0,1080141.93,-0.07516828721017199,3807,6553.525,523.3169,137.2916,6369.54,0.9982791612628644,1.0015425515525131,1.0070712020163195,0.9968496025616346
50,2020-06-05,25.19,26.3,24.0,12332.0,312301.48,0.01860088960776385,3808,6696.194,522.4213,138.0206,6536.58,1.0217698109032927,0.9982886086805145,1.0053098660078257,1.026224813722812
51,2020-06-08,25.1,27.66,23.88,8243.0,202126.47,-0.003572846367606241,3811,6759.274,524.0722,137.9102,6615.4,1.0094202766526776,1.0031600932044693,0.999200119402466,1.0120582934806885
52,2020-06-09,25.19,26.99,23.55,16442.0,415752.98,0.0035856573705179686,3812,6721.896,526.0831,138.0927,6564.27,0.9944701161692808,1.0038370667247758,1.0013233248882245,0.9922710644858966
53,2020-06-10,25.0,26.99,24.35,8784.0,216112.73,-0.007542675664946485,3813,6698.595,527.4021,138.6834,6529.42,0.9965335673149363,1.0025072084619333,1.0042775613772488,0.9946909557346056
54,2020-06-11,25.07,26.33,24.4,13429.0,333682.84,0.0027999999999999137,3814,6365.653,529.0486,136.7408,6145.3,0.9502967413315777,1.0031219064163757,0.9859925557060182,0.9411708850096946
55,2020-06-12,25.01,26.98,24.61,68987.0,1749695.28,-0.0023932987634622807,3815,6396.201999999999,526.2133,135.9162,6227.42,1.0047990363282446,0.9946407570117377,0.9939696125808829,1.0133630579467234
