,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
52,2018-06-13,23676,40.48,BEA,"958,343.20",-0.09840000000000004,3085,6094.6,477.1897,185.0634,5459.21,0.9976356366069716,0.9997291119775245,1.0008290515228753,0.996011727637122
53,2018-06-14,263,34.18,BEA,"8,989.20",-0.15559999999999996,3086,6100.891,476.7544,183.52700000000002,5474.37,1.0010322252485806,0.9990877841663388,0.9916979802597381,1.0027769585709287
54,2018-06-15,175876,36.04,BEA,"6,339,281.30",0.0544,3087,6078.741,476.4224,180.4233,5469.37,0.9963693827672057,0.9993036246755143,0.9830885918693162,0.9990866528933923
55,2018-06-19,48597,40.71,BEA,"1,978,185.70",0.12959999999999994,3091,6014.4259999999995,476.4247,178.1473,5436.13,0.993274321317503,1.0003313268253577,0.9880862118979252,0.9960240608446947
56,2018-06-20,27565,48.14,BEA,"1,326,961.40",0.1825000000000001,3092,6032.478,476.0342,178.5685,5445.43,1.0030014501799507,0.9991803531596914,1.0023643355807246,1.0017107758644477
57,2018-06-21,21036,44.01,BEA,"925,865.60",-0.08579999999999999,3093,5999.319,476.5508,177.84,5411.4,0.9945032538867112,1.001085216146235,0.9959203330934627,0.9937507230833927
58,2018-06-22,93144,51.01,BEA,"4,751,587.20",0.15910000000000002,3094,6024.960999999999,476.9355,179.7035,5421.63,1.004274151782894,1.0008072591631365,1.0104785200179935,1.001890453487083
59,2018-06-25,45104,54.54,BEA,"2,460,095.20",0.06919999999999993,3097,5941.485,477.6958,177.36900000000003,5347.23,0.9861449725566689,1.001594135894686,0.9870091567498688,0.9862771897012521
60,2018-06-26,83836,59.66,BEA,"5,001,638.80",0.0939000000000001,3098,5949.519,477.0641,178.1104,5359.01,1.0013521872057238,0.9986776103118344,1.0041799863561274,1.0022030097826353
61,2018-06-27,16261,62.43,BEA,"1,015,221.20",0.0464,3099,5915.691999999999,476.6022,179.3836,5312.89,0.9943143302845152,0.9990317862945461,1.007148375389646,0.9913939328346094
