,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
78,2020-06-24,SZA-2015,37.56,37.56,37.56,37.56,37.56,2.0,75.12,-0.0999281092739035,3827,6444.68,527.7694,135.9296,6247.66,0.9749967851496608,0.9979931195371222,0.9845191102870344,0.9741511575691049
79,2020-06-29,SZA-2015,33.8,33.8,33.8,33.8,33.8,1.0,33.8,-0.10010649627263056,3832,6435.908,527.0577,137.0737,6254.78,1.0091991162952392,1.0003264465139212,1.0162075803910666,1.0148097671777399
80,2020-06-30,SZA-2015,30.42,30.42,30.42,30.42,30.42,1.0,30.42,-0.09999999999999988,3833,6511.097,526.9333,138.6382,6351.67,1.0116827338116081,0.9997639727111474,1.0114135680294616,1.0154905528251994
81,2020-07-01,SZA-2015,33.46,33.46,33.46,33.46,33.46,1.0,33.46,0.09993425378040753,3834,6539.444,527.0668,139.0814,6383.76,1.004353644247659,1.0002533527488202,1.003196810114384,1.0050522146144243
82,2020-07-02,SZA-2015,36.81,36.81,36.81,36.81,36.81,1.0,36.81,0.10011954572624028,3835,6588.83,527.4791,140.0398,6414.16,1.007552018183809,1.0007822537864273,1.006890928621656,1.004762083787611
83,2020-07-03,SZA-2015,33.13,33.13,33.13,33.13,33.13,1.0,33.13,-0.09997283346916597,3836,6585.251,527.7667,140.0398,6414.16,0.9994568079613528,1.000545234872813,1.0,1.0
84,2020-07-06,SZA-2015,29.82,29.82,29.82,29.82,29.82,1.0,29.82,-0.09990944763054643,3839,6697.45,529.1507,141.2104,6516.05,1.0170379230799251,1.0026223708316573,1.0083590522122996,1.0158851665689663
85,2020-07-07,SZA-2015,32.8,32.8,32.8,32.8,32.8,2.0,65.6,0.09993293091884636,3840,6635.366999999999,529.2873,141.982,6445.59,0.9907303525968838,1.0002581495214877,1.0054641867737788,0.9891867005317638
86,2020-07-08,SZA-2015,36.08,36.08,29.52,29.52,29.52,2.0,65.6,-0.09999999999999998,3841,6663.464,530.1214,142.5187,6496.14,1.0042344304391906,1.0015758927145995,1.0037800566268964,1.007842571432561
87,2020-07-09,SZA-2015,26.57,32.47,26.57,32.47,32.47,2.0,59.04,0.09993224932249324,3842,6629.543000000001,530.9169,141.5669,6461.31,0.9949094044779113,1.0015005996739617,0.9933215781507971,0.9946383544689615
