Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton)
2015-01-19,TJEA14,180,"4,515",25.08
2015-01-16,TJEA14,240,"6,014",25.06
2015-01-15,TJEA14,160,"4,008",25.05
2015-01-14,TJEA14,220,"5,519",25.09
2015-01-13,TJEA14,320,"8,019",25.06
2015-01-12,TJEA14,120,"2,991",24.93
2015-01-09,TJEA14,240,"6,011",25.04
2015-01-08,TJEA14,700,"17,512",25.02
2015-01-07,TJEA14,160,"4,008",25.05
2015-01-06,TJEA14,160,"4,006",25.04
2015-01-05,TJEA14,120,"2,980",24.83
2015-03-06,TJEA14,280,"7,024",25.09
2015-03-05,TJEA14,260,"6,583",25.32
2015-03-04,TJEA14,280,"6,709",23.96
2015-03-03,TJEA14,220,"5,517",25.08
2015-03-02,TJEA14,180,"4,516",25.09
2015-02-27,TJEA14,160,"3,925",24.53
2015-02-26,TJEA14,340,"8,360",24.59
2015-02-25,TJEA14,120,"3,027",25.23
2015-02-17,TJEA14,220,"5,522",25.10
2015-02-16,TJEA14,180,"4,510",25.06
2015-02-13,TJEA14,120,"2,970",24.75
2015-02-12,TJEA14,160,"3,840",24.00
2015-02-11,TJEA14,120,"2,880",24.00
2015-02-10,TJEA14,60,"1,500",25.00
2015-02-09,TJEA14,240,"6,010",25.04
2015-02-06,TJEA14,120,"2,969",24.75
2015-02-05,TJEA14,100,"2,472",24.72
2015-02-04,TJEA14,120,"2,988",24.90
2015-02-03,TJEA14,220,"5,486",24.94
2015-02-02,TJEA14,280,"7,017",25.06
2015-04-03,TJEA14,180,"4,398",24.43
2015-04-02,TJEA14,"1,660","41,358",24.91
2015-04-01,TJEA14,120,"3,021",25.18
2015-03-31,TJEA14,220,"5,568",25.31
2015-03-30,TJEA14,200,"5,053",25.27
2015-03-27,TJEA14,160,"4,040",25.25
2015-03-26,TJEA14,180,"4,515",25.08
2015-03-25,TJEA14,360,"9,072",25.20
2015-03-24,TJEA14,500,"12,769",25.54
2015-03-23,TJEA14,160,"4,021",25.13
2015-03-20,TJEA14,120,"3,006",25.05
2015-03-19,TJEA14,220,"5,516",25.07
2015-03-18,TJEA14,60,"1,506",25.10
2015-03-17,TJEA14,360,"8,999",25.00
2015-03-16,TJEA14,200,"5,006",25.03
2015-03-13,TJEA14,480,"11,988",24.98
