,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
1388,2015-03-16,GDEA,20.98,20.7,20.98,20.5,-0.28,-1.33,10000,207040
1389,2015-03-13,GDEA,20.89,20.98,20.98,20.98,0.09,0.43,2000,41960
1390,2015-03-10,GDEA,21,20.89,21.6,20.88,-0.11,-0.52,3001,62681.6
1391,2015-03-09,GDEA,20.98,21,21.6,20.99,0.02,0.1,1010,21206
1392,2015-03-06,GDEA,20.98,20.98,20.98,20.98,0,0,3000,62940
1393,2015-03-05,GDEA,20.88,20.98,20.98,20.98,0.1,0.48,1015,21294.7
1394,2015-03-03,GDEA,20.88,20.88,20.88,20.88,0,0,500,10440
1395,2015-02-27,GDEA,20.8,20.88,20.88,20.88,0.08,0.38,2000,41760
1396,2015-02-26,GDEA,20.8,20.8,20.8,20.8,0,0,584,12147.2
1397,2015-02-12,GDEA,20.8,20.8,20.8,20.8,0,0,1000,20800
1398,2015-02-06,GDEA,20.8,20.8,20.8,20.8,0,0,2000,41600
1399,2015-02-04,GDEA,20.69,20.8,20.98,20.8,0.11,0.53,4000,83202.16
1400,2015-02-02,GDEA,20.68,20.69,21,20.69,0.01,0.05,1510,31245
1401,2015-01-30,GDEA,20.66,20.68,20.68,20.68,0.02,0.1,500,10340
1402,2015-01-28,GDEA,20.66,20.66,20.66,20.66,0,0,3,61.98
1403,2015-01-21,GDEA,20.6,20.66,21.6,20.66,0.06,0.29,1913,39525.4
1404,2015-01-16,GDEA,21.46,20.6,20.6,20.6,-0.86,-4.01,500,10300
1405,2015-01-13,GDEA,23.8,21.46,21.46,21.46,-2.34,-9.83,1,21.46
1406,2015-01-12,GDEA,26.44,23.8,23.8,23.8,-2.64,-9.98,1,23.8
1407,2015-01-09,GDEA,29.36,26.44,26.46,26.42,-2.92,-9.95,5,132.22
1408,2015-01-08,GDEA,32.57,29.36,29.36,29.36,-3.21,-9.86,5,146.8
1409,2015-01-07,GDEA,32.21,32.57,32.6,32.5,0.36,1.12,496,16156
1410,2014-12-29,GDEA,29.36,32.21,32.3,27.47,2.85,9.71,1295,35924.47
1411,2014-12-26,GDEA,32.6,29.36,29.36,29.36,-3.24,-9.94,68,1996.48
1412,2014-12-18,GDEA,30.49,32.6,32.6,32.6,2.11,6.92,15,489
1413,2014-12-17,GDEA,28.2,30.49,31,25.38,2.29,8.12,11,335.38
