,Unnamed: 0,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
143,143,2020-11-16,GDEA,28.06,27.92,28.02,26.0,-0.14,-0.005,317731,9347511.19
142,142,2020-11-17,GDEA,27.92,28.02,28.03,27.51,0.1,0.0036,70488,1974788.0
141,141,2020-11-18,GDEA,28.02,28.19,28.25,27.3,0.17,0.0061,30981,872914.41
140,140,2020-11-19,GDEA,28.19,27.89,28.17,27.79,-0.3,-0.0106,930225,24610870.58
139,139,2020-11-20,GDEA,27.89,27.98,28.77,25.1,0.09,0.0032,523966,14039839.92
138,138,2020-11-21,GDEA,27.98,27.97,28.09,27.52,-0.01,-0.0004,192088,5372020.92
137,137,2020-11-22,GDEA,27.97,27.99,30.03,25.59,0.02,0.0007000000000000001,72000,2069523.0
136,136,2020-11-23,GDEA,27.99,28.09,28.28,27.8,0.1,0.0036,325622,9567469.04
135,135,2020-11-24,GDEA,28.09,28.22,28.49,27.9,0.13,0.0046,486954,12734115.52
134,134,2020-11-25,GDEA,28.22,28.15,28.48,26.5,-0.07,-0.0025,519168,13511054.95
133,133,2020-11-26,GDEA,28.15,28.11,28.5,27.32,-0.04,-0.0014000000000000002,1397844,38768971.83
132,132,2020-11-27,GDEA,28.11,28.17,28.49,27.85,0.06,0.0021,662683,19698231.97
131,131,2020-11-28,GDEA,28.17,28.08,30.99,27.8,-0.09,-0.0032,229922,6821235.92
130,130,2020-11-29,GDEA,28.08,27.8,27.8,26.0,-0.28,-0.01,2144,59344.0
129,129,2020-11-30,GDEA,27.8,27.47,28.04,27.36,-0.33,-0.011899999999999999,307527,8721889.1
128,128,2020-12-01,GDEA,27.47,27.71,27.8,27.5,0.24,0.0087,83066,2301915.15
127,127,2020-12-02,GDEA,27.71,28.0,28.0,28.0,0.29,0.0105,171000,4278000.0
126,126,2020-12-03,GDEA,28.0,27.85,28.55,27.5,-0.15,-0.0054,57295,1610642.52
125,125,2020-12-04,GDEA,27.85,28.19,28.45,28.01,0.34,0.0122,42310,1192785.8
124,124,2020-12-07,GDEA,28.19,28.09,28.87,27.78,-0.1,-0.0034999999999999996,89672,2518468.48
123,123,2020-12-08,GDEA,28.09,28.17,28.55,26.0,0.08,0.0028000000000000004,24192,680292.96
122,122,2020-12-09,GDEA,28.17,28.37,28.77,27.5,0.2,0.0070999999999999995,32708,927463.0
121,121,2020-12-10,GDEA,28.37,28.38,28.78,28.02,0.01,0.0004,17717,287416.12
120,120,2020-12-11,GDEA,28.38,28.44,28.98,26.0,0.06,0.0021,556122,12647768.63
119,119,2020-12-14,GDEA,28.44,28.38,28.99,26.0,-0.06,-0.0021,173811,4712879.17
118,118,2020-12-15,GDEA,28.38,28.29,28.8,26.0,-0.09,-0.0032,126719,3374268.93
117,117,2020-12-16,GDEA,28.29,28.44,28.98,27.02,0.15,0.0053,126500,3503600.0
116,116,2020-12-17,GDEA,28.44,28.45,28.98,26.2,0.01,0.0004,134120,3589437.03
115,115,2020-12-18,GDEA,28.45,28.36,28.99,26.0,-0.09,-0.0032,55912,1584539.34
114,114,2020-12-21,GDEA,28.36,28.26,28.98,26.33,-0.1,-0.0034999999999999996,10945,308409.16
113,113,2020-12-22,GDEA,28.26,28.34,28.96,26.3,0.08,0.0028000000000000004,11576,326900.1
112,112,2020-12-23,GDEA,28.34,28.16,28.77,26.0,-0.18,-0.0064,49956,1405806.6
111,111,2020-12-24,GDEA,28.16,28.39,28.78,26.66,0.23,0.008199999999999999,442407,10676739.91
110,110,2020-12-25,GDEA,28.39,28.85,28.88,26.0,0.46,0.016200000000000003,309044,8448852.0
109,109,2020-12-28,GDEA,28.85,28.88,28.88,26.4,0.03,0.001,1050,28960.0
108,108,2020-12-29,GDEA,28.88,28.24,28.87,26.5,-0.64,-0.0222,13361,376389.07
107,107,2020-12-30,GDEA,28.24,28.37,28.87,28.36,0.13,0.0046,21968,623271.56
