Date,Settlement Volume (ton),Settlement Price (yuan/ton),Turnover (yuan)
2015-05-26,25317,47.76,"1,209,076.00"
2015-05-25,21718,46.57,"1,011,327.50"
2015-05-22,11830,47.39,"560,673.40"
2015-05-21,11393,46.98,"535,208.70"
2015-06-19,9824,40.39,"396,839.50"
2015-06-18,16450,41.22,"678,133.90"
2015-06-17,7170,45.90,"329,105.00"
2015-06-16,951,40.00,"38,040.00"
2015-06-15,100,30.10,"3,010.00（林业碳汇）"
2015-06-15,43672,41.07,"1,793,681.20(BEA)"
2015-06-12,56827,41.66,"2,367,629.70"
2015-06-12,1000,16.50,"16,500(CCER)"
2015-06-11,57908,43.50,"2,519,273.90(BEA)"
2015-06-11,1340,33.18,"44,460.00(CCER)"
2015-06-10,72380,44.16,"3,196,181.80"
2015-06-09,60014,46.51,"2,790,980.80(BEA)"
2015-06-08,36393,45.87,"1,669,514.00(BEA)"
2015-06-08,1034,18.57,"19,204.50(CCER)"
2015-06-05,1197,36.00,"43,092(林业碳汇）"
2016-01-05,5900,44.70,"263,730.00 (BEA)"
2015-12-31,193,40.52,"7,820.00(BEA)"
2015-12-30,2900,37.80,"109,620.00(BEA)"
2015-12-28,5400,37.00,"199,800.00(BEA)"
2015-12-24,693,37.39,"25,913.00(BEA)"
2015-12-22,400,35.50,"14,200.00(BEA)"
2015-12-21,150,35.00,"5,250.00(BEA)"
2015-12-17,1500,30.00,"45,000.00(林业碳汇)"
2015-12-16,1800,38.83,"69,900.00 (BEA)"
2015-12-08,150,39.00,"5,850.00(BEA)"
2015-12-07,250,33.60,"8,400.00(BEA)"
2015-12-02,120,40.00,"4,800.00 (BEA)"
2015-11-27,2950,33.60,"99,120.00(BEA)"
2015-11-26,150,41.50,"6,225.00(BEA)"
2015-11-19,100,42.00,"4,200.00(BEA)"
2015-08-20,110,42.00,"4,620.00(BEA)"
2015-08-19,1,50.00,50.00(BEA)
2015-08-14,110,41.68,"4,585.00"
2015-08-10,85,41.88,"3,559.50"
2015-08-04,110,41.73,"4,590.00"
